n,retention_amplitude_ratio,decay_ratio_amplitude
0,1.000,0.000
1,0.996,0.004
2,0.992,0.008
4,0.984,0.016
8,0.969,0.031
16,0.939,0.061
32,0.882,0.118
64,0.779,0.221
128,0.607,0.393
